Name,Type,Locality,Lat,Long,Address
moalem,Hospital ,Khartoum,15.583209999999999,32.528409000000003,الخرطوم شمال، جنوب وزارة التربية و التعليم
Ibn Seena ,Hospital ,Khartoum,15.577207,32.542611000000001,العمارات شارع محمد نجيب، تقاطع شارع 21 مع محمد نجيب ، جنوب محلية الخرطوم
Imam abdul Rahman ,Hospital ,Un Durman ,15.593197999999999,32.460915999999997,الفتيحاب مربع 7 ، جنوب شرق الفكي سنتر
ENT Hospital ,Hospital ,Khartoum,15.550796,32.548268,شارع القصر، شرق كلية الصيدلة جامعة الخرطوم
the Academy ,Hospital ,Khartoum,15.551352,32.542304000000001,امتداد الدرجة الثالثة ، غرب جهاز شئون العاملين بالخارج ، و شرق مركز صحي سمير
Skin diseases Uni Hospital,Hospital ,Khartoum,15.599074,32.534835999999999,شارع المك نمر الناحية الجنوبية
New Alban,Hospital ,Sharg Elnil ,15.629303,32.612817,الحاج يوسف ، امتداد الردمية مربع 8 ، شرق مدارس ودالسائح الثانوية
Balk Hospital,Hospital ,Karari,15.681721,32.470993,الثورة الحارة الرابعة ، غرب سوق الحارة الرابعة ، شمال قسم شرطة الحارة الرابعة
Tegani Hos for neuro-psychological ,Hospital ,Un Durman ,15.641292,32.482722000000003,حي البوستة ، شمال غرب قسم شرطة الأوسط
Jazeera-Aslanj ,Hospital ,Karari,15.880385,32.526738999999999,الجزيرة إسلانج ، شرق الشارع الرئيسي
Khartoun Hospiatl ,Hospital ,Khartoum,15.597612,32.532764,شارع حوادث مستشفى الخرطوم
Dasouki Hospital ,Hospital ,Karari,15.699814,32.476590000000002,الثورة الحارة التاسعة ، محطة حميدان
Rajhi Hospital ,Hospital ,UM Bada ,15.648291,32.369101000000001,أمبدة دارالسلام مربع (5) ، جنوب استاد البشير ، و شرق محطة وقود ...
Ryhan Hospital,Hospital ,Bahri,15.738807,32.564934999999998,السلمة جنوب، شارع الكدرو ،شمال المستشفى البيطري
Surorab Hospital ,Hospital ,Karari,15.923415,32.540900000000001,السروراب
AL Shaab ,Hospital ,Khartoum,15.597773,32.534323999999998,تقاطع شارع القيادة مع المك نمر
Abdul Fadeel Elmaad ,Hospital ,Khartoum,15.612415,32.545319999999997,شارع النيل ، شرق وزارة الصحة الاتحادية
Ali Abdul Fatah ,Hospital ,Bahri,15.723673,32.580049000000002,الدروشاب شمال، شمال محطة (17)
Freindship Hospital Un Durman ,Hospital ,Un Durman ,15.659799,32.461972000000003,حي العرب الصناعات، غرب السوق الشعبي ، و شرق تقاطع الجميعاب
Sadaka ,Hospital ,Bahri,16.146511,32.639786999999998,قري شارع التحدي ، غرب مصفاة الخرطوم
Fateh ,Hospital ,Karari,15.804798999999999,32.397154,مدينة الفتح (2) ، سوق (9) ، جنوب قسم شرطة الفتح (2)
Kabashi,Hospital ,Bahri,15.891985999999999,32.578617999999999,الكباشي ، شارع التحدي ، شمال قبة الشيخ الكباشي
Tropical hosiptal ,Hospital ,Un Durman ,15.641781,32.493788000000002,شمال الإذاعة السودانية و شرق سجن أم درمان
El Do ,Hospital ,Karari,15.688984,32.490453000000002,الثورة بالنص ، الحارة الثامنة شرق ميدان المولد
Waledeen Hospital ,Hospital ,Un Durman ,15.643722,32.467751999999997,شارع العرضة غرب استاد المريخ ، جنوب مدارس الدوش الثانوية بنين
Maternity Hospital Un Durman,Hospital ,Un Durman ,15.635476000000001,32.489821999999997,الموردة، شمال بوابة عبدالقيوم
Ibrahim Malik,Hospital ,Khartoum,15.535674,32.546923,الصحافة شرق، شمال آخر محطة الصحافة شرق
Abu Dulik,Hospital ,Sharg Elnil ,15.931039,33.860841000000001,أبودليق وسط، شمال سوق أبودليق
Ahmad Kasem Urology and Paediatric,Hospital ,Bahri,15.634653999999999,32.532021,المزاد جنوب، شارع المعونة، جوار مبنى كهرباء سعد قشرة
Um Bada Hospital ,Hospital ,UM Bada ,15.665169000000001,32.418036000000001,أمبدة دار السلام ، شمال غرب سوق ليبيا ، مدخل شارع شريان الشمال
UnDurman Uni Hospital,Hospital ,Un Durman ,15.641892,32.488117000000003,حي البوستة، شمال حوش الخليفة
Um Dawo,Hospital ,Sharg Elnil ,15.437110000000001,32.922721000000003,أم ضوابان حي المستشفى، جنوب محكمة أم ضوابان
Um Kuni,Hospital ,Karari,16.079118999999999,32.535558000000002,الريف الشمالي، أم كتي
Saudi Um Durman ,Hospital ,Un Durman ,15.669414,32.483100999999998,شارع الثورة بالنص، غرب جامعة أم درمان الإسلامية ، شرق حديقة أم درمان الكبرى
Bahri Uni Hospital,Hospital ,Bahri,15.625921999999999,32.528616,المحطة الوسطى
Bashaier Hospital,Hospital ,Jabal Awlyia,15.490221,32.551755999999997,مايو جنوب الحزام
Jabal Awlia Hospital,Hospital ,Jabal Awlyia,15.241443,32.498170999999999,غرب سوق جبل أولياء، جنوب مستشفى السلاح الطبي جبل أولياء
Jubail El Tena ,Hospital ,Un Durman ,15.250994,32.476114000000003,بشائر، جبل أولياء غرب، شرق الزلط
Haj El Safi,Hospital ,Bahri,15.651149,32.531419,الصافية، شارع المعونة، جنوب قسم شرطة الصافية
Jafaar Ebn Owf paediatric Hospital ,Hospital ,Khartoum,15.549526,32.539537000000003,شارع المك نمر الناحية الجنوبية، شمال مستشفى الجلدية
Suba Uni Hospital ,Hospital ,Khartoum,15.507635000000001,32.624242000000002,سوبا، شارع مدني
Sharg Elnil Hospital,Hospital ,Sharg Elnil ,15.597934,32.604913000000003,القادسية جنوب ، جنوب شارع كبري المنشية، شمال مجمع محاكم شرق النيل
Shawamek Internation Hospital,Hospital ,Khartoum,15.577584999999999,32.549425999999997,العمارات شارع 21 ، شرق مستشفى ابن سينا
Libya Hospital ,Hospital ,UM Bada ,15.647192,32.418523999999998,أمبدة الحارة (30) ، شارع الـ30 ، نهاية سوق ليبيا، غرب محطة وقود أبوزيد
Mohamad Amin Hamid for paediatric surgery,Hospital ,Un Durman ,15.642628999999999,32.478180999999999,حي البوستة، شرق مستشفى أم درمان و شمال مسجد الخليفة
Nafisa Hospital for day care surgery ,Hospital ,Jabal Awlyia,15.463703000000001,32.479697000000002,الكلاكلة القبة، شمال غرب المستشفى التركي
Wad Abo Salih ,Hospital ,Sharg Elnil ,15.559953,33.329118000000001,منطقة ودأبوصالح ، شمال المسيد
